iteration,phase,latency_s,status
1,Phase1_LockGOForConversion,0.13,ok
1,Phase2_MintFromConversion,0.142,ok
1,Phase3_FinalizeLock,0.123,ok
2,Phase1_LockGOForConversion,0.146,ok
2,Phase2_MintFromConversion,0.129,ok
2,Phase3_FinalizeLock,0.094,ok
3,Phase1_LockGOForConversion,0.163,ok
3,Phase2_MintFromConversion,0.136,ok
3,Phase3_FinalizeLock,0.129,ok
4,Phase1_LockGOForConversion,0.147,ok
4,Phase2_MintFromConversion,0.132,ok
4,Phase3_FinalizeLock,0.105,ok
5,Phase1_LockGOForConversion,0.116,ok
5,Phase2_MintFromConversion,0.109,ok
5,Phase3_FinalizeLock,0.127,ok
6,Phase1_LockGOForConversion,0.158,ok
6,Phase2_MintFromConversion,0.138,ok
6,Phase3_FinalizeLock,0.13,ok
7,Phase1_LockGOForConversion,0.159,ok
7,Phase2_MintFromConversion,0.147,ok
7,Phase3_FinalizeLock,0.129,ok
8,Phase1_LockGOForConversion,0.141,ok
8,Phase2_MintFromConversion,0.139,ok
8,Phase3_FinalizeLock,0.087,ok
9,Phase1_LockGOForConversion,0.157,ok
9,Phase2_MintFromConversion,0.112,ok
9,Phase3_FinalizeLock,0.149,ok
10,Phase1_LockGOForConversion,0.151,ok
10,Phase2_MintFromConversion,0.153,ok
10,Phase3_FinalizeLock,0.109,ok
